Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,[Cenario 1] Imagem 1MB,1576,4,1100,1084.9449215215764,56.8156919998728,3121.0684550001133,32070.395939086295,86.16531327601156,0.21869368851779586,1100,1400,1600,1700,1900,2200,2500,2600,3100,3100,3100
GET,[Cenario 2] Texto 400KB,1290,5,1500,1484.0017935496103,35.18240599987621,4486.439602999781,225033.38372093023,70.52871454698916,0.27336711064724484,1500,1900,2200,2300,2600,3000,3300,3400,4000,4500,4500
GET,[Cenario 3] Imagem 300KB,1066,12,1500,1369.4161957889366,4.743098999824724,2740.6922559998748,30415.711069418387,58.2818679899926,0.6560810655533875,1500,1700,1800,1900,2100,2200,2400,2500,2700,2700,2700
,Aggregated,3932,21,1400,1292.9891085218758,4.743098999824724,4486.439602999781,94928.57502543235,214.97589581299331,1.1481418647184283,1400,1600,1800,1900,2300,2500,2900,3200,3600,4500,4500
