Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,[Cenario 1] Imagem 1MB,1091,0,46,122.22851330248078,26.58032799990906,853.140729000188,32529.0,34.9976083923916,0.0,46,58,76,100,440,600,690,720,800,850,850
GET,[Cenario 2] Texto 400KB,1027,0,45,54.87511496495049,28.03804899986062,712.282201999642,133045.0,32.944586451866336,0.0,45,50,57,63,81,110,140,180,540,710,710
GET,[Cenario 3] Imagem 300KB,951,0,43,50.681922636173795,27.123127999857388,215.6523050002761,30962.0,30.506622897492587,0.0,43,48,55,58,76,100,130,160,220,220,220
,Aggregated,3069,0,44,77.51924389345466,26.58032799990906,853.140729000188,65679.77060931899,98.44881774175052,0.0,44,51,60,67,110,270,580,670,790,850,850
