Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,[Cenario 2] Texto 400KB,3021,0,43,75.37520454452837,27.39130899999509,734.7493170000234,133045.0,96.97655070235754,0.0,43,50,58,67,120,280,520,620,700,730,730
,Aggregated,3021,0,43,75.37520454452837,27.39130899999509,734.7493170000234,133045.0,96.97655070235754,0.0,43,50,58,67,120,280,520,620,700,730,730
