Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,[Cenario 3] Imagem 300KB,11211,5911,730,1803.9578315136905,2.0309379997343058,7886.603457000092,14654.809562037284,265.3174272305163,139.88861942374288,730,3200,3700,3900,4500,5000,5600,6000,7200,7500,7900
,Aggregated,11211,5911,730,1803.9578315136905,2.0309379997343058,7886.603457000092,14654.809562037284,265.3174272305163,139.88861942374288,730,3200,3700,3900,4500,5000,5600,6000,7200,7500,7900
