Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,[Cenario 2] Texto 400KB,3051,0,45,88.63734115699852,26.99136899991572,837.7787709996483,133045.0,97.8011605201572,0.0,45,54,72,92,190,340,560,650,740,840,840
,Aggregated,3051,0,45,88.63734115699852,26.99136899991572,837.7787709996483,133045.0,97.8011605201572,0.0,45,54,72,92,190,340,560,650,740,840,840
