Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,[Cenario 1] Imagem 1MB,4188,2151,540,1662.1898478194964,2.4852279993865523,7340.144585999951,15838.590974212035,99.2464199834724,50.973985048817845,540,2600,3500,3800,4500,5000,5700,6000,6900,7300,7300
GET,[Cenario 2] Texto 400KB,3795,2118,150,1725.3834593293732,1.8571010004961863,8048.5037189992,58811.339920948616,89.93318143201475,50.19195738419163,150,3000,3700,4000,4700,5300,5900,6300,7400,8000,8000
GET,[Cenario 3] Imagem 300KB,3386,1939,140,1798.8029298269412,2.2722410003552795,7302.080668000599,13249.841701122268,80.24077795225348,45.95004974879489,140,3400,3800,4000,4700,5200,5800,6100,7000,7300,7300
,Aggregated,11369,6208,320,1723.9711523631822,1.8571010004961863,8048.5037189992,29411.999120415163,269.4203793677406,147.11599218180436,320,3000,3700,3900,4600,5100,5700,6100,7200,7800,8000
