Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,[Cenario 1] Imagem 1MB,4796,0,2200,2122.327477157843,30.215437000151724,5084.051627000008,32529.0,135.98460420274526,0.0,2200,2600,2700,2900,3300,3600,4000,4300,4700,5100,5100
,Aggregated,4796,0,2200,2122.327477157843,30.215437000151724,5084.051627000008,32529.0,135.98460420274526,0.0,2200,2600,2700,2900,3300,3600,4000,4300,4700,5100,5100
