Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,[Cenario 1] Imagem 1MB,4265,2160,580,1759.805600859557,2.200173999881372,7246.471275000204,16071.60773739742,101.3839930405993,51.34570339219097,580,3100,3700,4000,4600,5100,5600,5900,6400,7200,7200
GET,[Cenario 2] Texto 400KB,3861,2231,120,1649.4616793058829,2.1186849999139667,6590.060808000089,56188.56824656825,91.78044481354135,53.033455679619465,120,3000,3700,4000,4700,5100,5400,5700,6300,6600,6600
GET,[Cenario 3] Imagem 300KB,3474,2147,99,1605.6415929303437,2.0272640003895503,6351.219953999589,11847.410765687968,82.58100628910714,51.03667832547871,99,3100,3700,4000,4500,5000,5400,5700,6000,6400,6400
,Aggregated,11600,6538,180,1676.9087349401857,2.0272640003895503,7246.471275000204,28159.256379310344,275.74544414324777,155.41583739728915,180,3100,3700,4000,4600,5100,5500,5800,6300,6600,7200
