Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,[Cenario 1] Imagem 1MB,3721,650,390,1593.3925743781137,0.7444299999406212,16741.025396999703,26535.552808384844,204.80442901273773,35.776102891233414,390,470,570,700,8000,10000,10000,10000,16000,17000,17000
,Aggregated,3721,650,390,1593.3925743781137,0.7444299999406212,16741.025396999703,26535.552808384844,204.80442901273773,35.776102891233414,390,470,570,700,8000,10000,10000,10000,16000,17000,17000
