Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,[Cenario 1] Imagem 1MB,1516,4,1200,1650.0926385079129,21.889369999826158,11694.765786999596,32067.16622691293,83.09363637957931,0.21924442316511691,1200,1400,1600,1700,2500,8500,11000,11000,12000,12000,12000
GET,[Cenario 2] Texto 400KB,1209,3,1400,1473.121862785773,13.816137000048911,11383.485556000323,225348.4317617866,66.26662690165658,0.16443331737383768,1400,1700,1900,2000,2400,2600,8300,9100,11000,11000,11000
GET,[Cenario 3] Imagem 300KB,940,1,1300,1180.656365264895,23.723952999716857,7536.641271999997,30729.274468085106,51.52243944380247,0.05481110579127923,1300,1500,1500,1600,1800,1900,2000,2000,7500,7500,7500
,Aggregated,3665,8,1300,1471.3128937066836,13.816137000048911,11694.765786999596,95483.10941336972,200.88270272503837,0.43848884633023383,1300,1500,1700,1800,2200,3400,9900,11000,12000,12000,12000
