Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,[Cenario 1] Imagem 1MB,1802,0,2100,1984.8174232325166,79.27565599948139,4130.04846199965,32529.0,51.062592635002616,0.0,2100,2400,2700,2800,3100,3300,3500,3600,4100,4100,4100
GET,[Cenario 2] Texto 400KB,1570,0,2300,2252.8107382305807,40.9542360002888,4098.888229000295,133045.0,44.48849635791016,0.0,2300,2700,2900,3000,3300,3500,3600,3800,4100,4100,4100
GET,[Cenario 3] Imagem 300KB,1347,0,2300,2342.7826189547072,187.6733189992592,4655.880122999406,30962.0,38.16942967777388,0.0,2300,2600,2800,2900,3200,3500,3600,3800,4300,4700,4700
,Aggregated,4719,0,2200,2176.156398266367,40.9542360002888,4655.880122999406,65523.14515787243,133.72051867068663,0.0,2200,2600,2800,2900,3200,3400,3600,3700,4100,4700,4700
